local,rooms,price,area,restroom,status,kind,movel
" Glória e Vera Cruz, Aveiro",T2,140000,70,1,Usado,apartamento,ferias
" Gafanha da Nazaré, Ílhavo, Aveiro",T1,,40,1,Renovado,apartamento,ferias
" Apúlia e Fão, Esposende, Braga",T2,300,78,2,Usado,apartamento,ferias
" Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu), Coimbra",T1,350,54,1,Usado,apartamento,ferias
" Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu), Coimbra",T0,250,22,1,Renovado,apartamento,ferias
" Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu), Coimbra",T0,220,20,1,Renovado,apartamento,ferias
" Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu), Coimbra",T0,250,22,1,Renovado,apartamento,ferias
" Armação de Pêra, Silves, Faro",T1,350,60,1,Renovado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,228,76,1,14784 /AL,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,301,80,2,70442 /AL,apartamento,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,658,90,3,108466 /AL,apartamento,ferias
" Quarteira, Loulé, Faro",T1,560,80,1,Usado,apartamento,ferias
" Porches, Lagoa (Algarve), Faro",T2,395,75,,,apartamento,ferias
" Armação de Pêra, Silves, Faro",T2,350,100,2,Usado,apartamento,ferias
" Guia, Albufeira, Faro",T1,315,50,1,Renovado,apartamento,ferias
" Guia, Albufeira, Faro",T2,550,90,2,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,353,90,2,14482 /AL,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T2,425,97,2,28920 /AL,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,375,60,1,28921 /AL,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,610,100,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T0,290,60,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,710,100,1,Renovado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,760,109,2,Renovado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,710,109,1,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,560,70,1,Renovado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,490,107,2,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T3,875,160,3,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T1,525,80,2,Novo,apartamento,ferias
" Quarteira, Loulé, Faro",T1,645,55,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,490,73,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,320,61,2,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T3,630,80,3,Usado,apartamento,ferias
" Almancil, Loulé, Faro",T2,1365,130,3,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T1,725,55,1,Usado,apartamento,ferias
" Almancil, Loulé, Faro",T3,2940,200,2,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,595,130,2,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,490,89,2,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,490,90,2,Usado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T2,425,100,1,90969 /AL,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,375,50,1,97710 /AL,apartamento,ferias
" Armação de Pêra, Silves, Faro",T2,490,100,,,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,1163,60,1,80873 /AL,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,1023,77,1,338 /AL,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,890,50,1,116468 /AL,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,2475,80,2,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,953,60,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,963,80,1,Usado,apartamento,ferias
" Guia, Albufeira, Faro",T2,630,100,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,695,91,2,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T0,260,60,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T0,290,60,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,660,109,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,445,72,1,Renovado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,721,164,2,Renovado,apartamento,ferias
" Portimão, Faro",T1,125,64,,Casas de Banho: 1,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,600,60,2,Renovado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T1,340,50,1,Renovado,apartamento,ferias
" Faro (Sé e São Pedro), Faro",T2,259,76,1,Usado,apartamento,ferias
" Quarteira, Loulé, Faro",T0,5600,60,1,Novo,apartamento,ferias
" Quarteira, Loulé, Faro",T2,1500,120,2,Renovado,apartamento,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T1,350,60,1,Usado,apartamento,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T0,2000,30,1,Renovado,apartamento,ferias
" Quarteira, Loulé, Faro",T2,791,72,2,43327 /AL,apartamento,ferias
