local,rooms,price,area,restroom,status,kind,movel
" Campo do Gerês, Terras de Bouro, Braga",T3,988,120,2,98282 /AL,moradia,ferias
" Amares e Figueiredo, Amares, Braga",T4,1120,250,4,57808/AL /AL,moradia,ferias
" Amares e Figueiredo, Amares, Braga",T5,1750,300,4,33118/AL /AL,moradia,ferias
" Ventosa e Cova, Vieira do Minho, Braga",T3,350,120,3,59452 /AL,moradia,ferias
" Ruivães e Campos, Vieira do Minho, Braga",T7,,350,4,Renovado,moradia,ferias
" São Miguel, Santa Eufémia e Rabaçal, Penela, Coimbra",T2,455,100,1,Renovado,moradia,ferias
" Unhais-o-Velho, Pampilhosa da Serra, Coimbra",T2,315,60,108354,"
",moradia,ferias
" Aljezur, Faro",T3,700,120,2,17755 /AL,moradia,ferias
" Lagoa e Carvoeiro, Lagoa (Algarve), Faro",T4,1316,210,3,25480 /AL,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T5,1785,240,4,99349 /AL,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T6,2149,450,4,11071 /AL,moradia,ferias
" Quarteira, Loulé, Faro",T6,1529,300,4,113731 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T5,1294,227,3,106187 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,1058,220,4,80512 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,617,125,4,90582 /AL,moradia,ferias
" Guia, Albufeira, Faro",T4,1051,138,4,81316 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,448,140,3,15207 /AL,moradia,ferias
" Luz, Lagos, Faro",T4,7203,250,4,38844 /AL,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T3,1183,240,3,99349 /AL,moradia,ferias
" Guia, Albufeira, Faro",T4,966,200,4,Usado,moradia,ferias
" São Clemente, Loulé, Faro",T3,665,150,4,Usado,moradia,ferias
" Guia, Albufeira, Faro",T4,1575,200,3,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,1995,200,4,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,1330,200,4,Usado,moradia,ferias
" Almancil, Loulé, Faro",T4,1645,300,3,Usado,moradia,ferias
" Conceição e Estoi, Faro",T5,1035,300,4,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T3,700,200,3,Usado,moradia,ferias
" Santa Bárbara de Nexe, Faro",T4,1498,300,4,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,707,1000,2,Usado,moradia,ferias
" Guia, Albufeira, Faro",T4,784,200,3,Renovado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,707,324,4,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,910,100,2,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,826,1500,4,Novo,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,903,700,2,81353 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,826,300,3,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,749,700,3,Usado,moradia,ferias
" Guia, Albufeira, Faro",T3,707,1000,3,Usado,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T2,865,140,2,Usado,moradia,ferias
" Guia, Albufeira, Faro",T5,910,180,3,Usado,moradia,ferias
" Almancil, Loulé, Faro",T3,2310,130,2,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,3150,140,4,Usado,moradia,ferias
" Montenegro, Faro",T4,3150,140,3,Usado,moradia,ferias
" São Sebastião, Loulé, Faro",T6,1785,350,4,Usado,moradia,ferias
" São Clemente, Loulé, Faro",T4,1400,244,4,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T3,1260,150,3,Usado,moradia,ferias
" Boliqueime, Loulé, Faro",T2,875,200,2,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,1085,300,3,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T3,945,150,4,Usado,moradia,ferias
" São Sebastião, Loulé, Faro",T4,1505,200,3,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,920,300,3,Usado,moradia,ferias
" Almancil, Loulé, Faro",T3,1190,200,3,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,2625,300,4,Usado,moradia,ferias
" Almancil, Loulé, Faro",T5,6685,300,4,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,1680,200,4,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T6,2415,300,4,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T3,630,180,3,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,1750,300,4,Usado,moradia,ferias
